cluster,confidence_max,confidence_min,end_time,location_x,location_y,reliability_max,reliability_min,start_time,thumbs_up,uuid count,interactions,point,pareto
29,1,0,2019-02-04 09:33:00,-46.697021416666665,-23.60600558333333,10,5,2019-02-04 05:01:00,10,12,22,POINT (-46.69702141666667 -23.60600558333333),40.174418604651166
67,5,0,2019-02-04 07:35:00,-46.69331008391696,-23.597790106792726,10,5,2019-02-04 04:55:00,54,3,57,POINT (-46.69331008391696 -23.59779010679273),14.127906976744185
147,1,0,2019-02-04 04:05:00,-46.69809900000005,-23.603618999999984,9,5,2019-02-04 02:59:00,3,1,4,POINT (-46.69809900000005 -23.60361899999998),80.63953488372093
178,0,0,2019-02-04 11:04:00,-46.700784999999996,-23.613487000000006,7,5,2019-02-04 10:10:00,1,1,2,POINT (-46.700785 -23.61348700000001),90.93023255813954
186,5,0,2019-02-04 10:20:00,-46.69295849999998,-23.614290999999994,10,5,2019-02-04 04:54:00,45,6,51,POINT (-46.69295849999998 -23.61429099999999),17.093023255813954
216,5,0,2019-02-04 05:42:00,-46.69978300000002,-23.60931,10,5,2019-02-04 03:57:00,11,1,12,POINT (-46.69978300000002 -23.60931),58.604651162790695
235,0,0,2019-02-04 07:39:00,-46.695207000000046,-23.602409999999978,5,5,2019-02-04 06:39:00,0,1,1,POINT (-46.69520700000005 -23.60240999999998),95.29069767441861
