cluster,confidence_max,confidence_min,end_time,location_x,location_y,reliability_max,reliability_min,start_time,thumbs_up,uuid count,interactions,point,pareto
2,5,0,2019-02-04 12:14:00,-46.62723356285874,-23.542613526369095,10,5,2019-02-04 06:05:00,23,9,32,POINT (-46.62723356285874 -23.5426135263691),35.46511627906977
34,0,0,2019-02-04 05:47:00,-46.627103783333276,-23.554870483333374,6,5,2019-02-04 04:48:00,0,1,1,POINT (-46.62710378333328 -23.55487048333337),94.18604651162791
66,0,0,2019-02-04 11:32:00,-46.63072999999999,-23.539526000000013,5,5,2019-02-04 10:32:00,0,1,1,POINT (-46.63072999999999 -23.53952600000001),94.82558139534883
150,1,0,2019-02-04 07:55:00,-46.62906900000005,-23.556291000000034,7,5,2019-02-04 06:31:00,2,1,3,POINT (-46.62906900000005 -23.55629100000003),83.66279069767442
155,1,0,2019-02-04 09:23:00,-46.62945049999999,-23.540091666666665,8,5,2019-02-04 06:12:00,4,6,10,POINT (-46.62945049999999 -23.54009166666667),65.93023255813954
159,1,0,2019-02-04 04:39:00,-46.622832999999936,-23.552028000000014,7,5,2019-02-04 03:11:00,2,1,3,POINT (-46.62283299999994 -23.55202800000001),83.13953488372093
251,5,0,2019-02-04 04:40:00,-46.62956400724646,-23.556167239130378,10,5,2019-02-04 02:23:00,10,1,11,POINT (-46.62956400724646 -23.55616723913038),61.22093023255814
