cluster,confidence_max,confidence_min,end_time,location_x,location_y,reliability_max,reliability_min,start_time,thumbs_up,uuid count,interactions,point,pareto
3,5,0,2019-02-04 07:38:00,-46.60072018292681,-23.62164796341465,10,5,2019-02-04 04:31:00,18,4,22,POINT (-46.60072018292681 -23.62164796341465),41.45348837209303
6,2,0,2019-02-04 03:23:00,-46.60114100000007,-23.622144,9,5,2019-02-04 02:23:00,4,1,5,POINT (-46.60114100000007 -23.622144),76.86046511627907
43,1,0,2019-02-04 10:36:00,-46.600754999999985,-23.621452333333327,7,5,2019-02-04 09:08:00,3,3,6,POINT (-46.60075499999999 -23.62145233333333),75.87209302325581
217,0,0,2019-02-04 04:43:00,-46.60151299999999,-23.61664200000001,6,5,2019-02-04 04:28:00,0,1,1,POINT (-46.60151299999999 -23.61664200000001),95.69767441860465
