cluster,confidence_max,confidence_min,end_time,location_x,location_y,reliability_max,reliability_min,start_time,thumbs_up,uuid count,interactions,point,pareto
7,3,0,2019-02-04 06:36:00,-46.60775600000004,-23.52219350000002,10,5,2019-02-04 03:12:00,6,2,8,POINT (-46.60775600000004 -23.52219350000002),69.47674418604652
21,5,0,2019-02-04 11:53:00,-46.629964964799,-23.51946167009796,10,5,2019-02-04 02:36:00,83,31,114,POINT (-46.629964964799 -23.51946167009796),6.627906976744186
28,4,0,2019-02-04 09:15:00,-46.61604066666669,-23.519192999999998,10,5,2019-02-04 04:07:00,15,6,21,POINT (-46.61604066666669 -23.519193),45.116279069767444
44,4,0,2019-02-04 12:19:00,-46.630528700000006,-23.524191050740736,10,5,2019-02-04 03:22:00,25,15,40,POINT (-46.63052870000001 -23.52419105074074),21.802325581395348
45,4,0,2019-02-04 12:17:00,-46.62438142857142,-23.513909714285727,10,5,2019-02-04 04:16:00,11,7,18,POINT (-46.62438142857142 -23.51390971428573),47.26744186046512
46,5,0,2019-02-04 06:47:00,-46.625256000000064,-23.52349199999993,10,5,2019-02-04 04:15:00,12,1,13,POINT (-46.62525600000006 -23.52349199999993),56.395348837209305
64,5,0,2019-02-04 09:10:00,-46.647111000000066,-23.51788074999999,10,5,2019-02-04 03:24:00,28,4,32,POINT (-46.64711100000007 -23.51788074999999),29.88372093023256
73,5,0,2019-02-04 10:22:00,-46.621687375,-23.518746375,10,5,2019-02-04 05:31:00,24,8,32,POINT (-46.621687375 -23.518746375),31.74418604651163
127,1,0,2019-02-04 07:34:00,-46.61114645588238,-23.521939705882364,7,5,2019-02-04 05:24:00,2,2,4,POINT (-46.61114645588238 -23.52193970588236),80.87209302325581
166,5,0,2019-02-04 11:00:00,-46.60625199999999,-23.522015999999947,10,5,2019-02-04 09:24:00,15,1,16,POINT (-46.60625199999999 -23.52201599999995),54.06976744186046
184,2,0,2019-02-04 06:22:00,-46.63906599999999,-23.518076999999998,10,5,2019-02-04 06:01:00,5,1,6,POINT (-46.63906599999999 -23.518077),76.56976744186046
193,3,0,2019-02-04 08:01:00,-46.642653999999965,-23.517624000000016,10,5,2019-02-04 04:17:00,7,2,9,POINT (-46.64265399999996 -23.51762400000002),68.54651162790698
198,0,0,2019-02-04 10:49:00,-46.62455700000007,-23.51782600000001,8,5,2019-02-04 09:42:00,2,1,3,POINT (-46.62455700000007 -23.51782600000001),87.84883720930233
254,5,0,2019-02-04 12:56:00,-46.634711041935574,-23.519235964516128,10,5,2019-02-04 09:14:00,19,2,21,POINT (-46.63471104193557 -23.51923596451613),42.674418604651166
257,0,0,2019-02-04 10:11:00,-46.61386700000002,-23.517803999999984,5,5,2019-02-04 09:14:00,0,1,1,POINT (-46.61386700000002 -23.51780399999998),97.09302325581395
263,1,0,2019-02-04 10:51:00,-46.60933999999998,-23.51783,9,5,2019-02-04 10:18:00,3,1,4,POINT (-46.60933999999998 -23.51783),82.73255813953489
