cluster,confidence_max,confidence_min,end_time,location_x,location_y,reliability_max,reliability_min,start_time,thumbs_up,uuid count,interactions,point,pareto
39,5,0,2019-02-04 06:34:00,-46.694438250000005,-23.681387750000027,10,5,2019-02-04 02:57:00,30,4,34,POINT (-46.69443825 -23.68138775000003),28.023255813953487
77,3,0,2019-02-04 10:03:00,-46.67549400000001,-23.696281363636373,10,5,2019-02-04 05:35:00,20,11,31,POINT (-46.67549400000001 -23.69628136363637),37.26744186046512
112,2,0,2019-02-04 09:40:00,-46.6918725,-23.683821000000005,10,5,2019-02-04 07:51:00,9,4,13,POINT (-46.6918725 -23.68382100000001),55.63953488372093
174,0,0,2019-02-04 03:22:00,-46.67922899999998,-23.69496699999998,5,5,2019-02-04 02:22:00,0,1,1,POINT (-46.67922899999998 -23.69496699999998),99.4186046511628
236,3,0,2019-02-04 06:20:00,-46.69247500000003,-23.68321500000001,10,5,2019-02-04 05:36:00,7,1,8,POINT (-46.69247500000003 -23.68321500000001),73.19767441860465
