cluster,confidence_max,confidence_min,end_time,location_x,location_y,reliability_max,reliability_min,start_time,thumbs_up,uuid count,interactions,point,pareto
47,0,0,2019-02-04 05:52:00,-46.67873400000004,-23.621973999999987,7,5,2019-02-04 04:51:00,1,1,2,POINT (-46.67873400000004 -23.62197399999999),90.5813953488372
80,0,0,2019-02-04 04:04:00,-46.669206999999965,-23.63263500000001,6,5,2019-02-04 03:14:00,0,1,1,POINT (-46.66920699999996 -23.63263500000001),93.77906976744185
141,2,0,2019-02-04 06:00:00,-46.66721000000005,-23.634698999999966,10,5,2019-02-04 04:45:00,6,1,7,POINT (-46.66721000000005 -23.63469899999997),74.82558139534883
192,5,0,2019-02-04 09:14:00,-46.67576243220336,-23.627071601694936,10,5,2019-02-04 05:29:00,39,2,41,POINT (-46.67576243220336 -23.62707160169494),19.476744186046513
