cluster,confidence_max,confidence_min,end_time,location_x,location_y,reliability_max,reliability_min,start_time,thumbs_up,uuid count,point
261,0,0,2018-10-17 12:38:00,-56.139623,-34.899647,5,5,2018-10-17 12:20:00,0,1,POINT (-56.139623 -34.899647)
262,0,0,2018-10-17 12:35:00,-56.160523,-34.914476,5,5,2018-10-17 12:21:00,0,1,POINT (-56.160523 -34.914476)
263,0,0,2018-10-17 12:45:00,-56.161641,-34.872617,5,5,2018-10-17 12:36:00,0,1,POINT (-56.161641 -34.872617)
264,0,0,2018-10-17 13:07:00,-56.13656,-34.853682,5,5,2018-10-17 12:44:00,0,1,POINT (-56.13656 -34.853682)
265,0,0,2018-10-17 14:38:00,-56.167204,-34.874135,5,5,2018-10-17 14:15:00,0,1,POINT (-56.167204 -34.874135)
266,0,0,2018-10-17 17:31:00,-56.225909,-34.865735,5,5,2018-10-17 17:14:00,0,1,POINT (-56.225909 -34.865735)
267,0,0,2018-10-17 18:18:00,-56.161796,-34.844274,5,5,2018-10-17 18:03:00,0,2,POINT (-56.161796 -34.844274)
268,0,0,2018-10-17 19:56:00,-56.132498,-34.840752,5,5,2018-10-17 19:51:00,0,1,POINT (-56.132498 -34.840752)
269,0,0,2018-10-17 21:11:00,-56.170165,-34.8649,6,5,2018-10-17 20:59:00,0,1,POINT (-56.170165 -34.8649)
270,0,0,2018-10-18 07:28:00,-56.152949,-34.909688,6,5,2018-10-18 07:15:00,0,1,POINT (-56.152949 -34.909688)
271,2,0,2018-10-18 09:58:00,-56.195210599999996,-34.901390400000004,9,5,2018-10-18 08:00:00,7,5,POINT (-56.1952106 -34.9013904)
272,0,0,2018-10-18 09:05:00,-56.132655,-34.856473,6,5,2018-10-18 08:54:00,0,1,POINT (-56.132655 -34.856473)
273,0,0,2018-10-18 09:09:00,-56.128592,-34.904971,6,5,2018-10-18 09:01:00,1,1,POINT (-56.128592 -34.904971)
274,0,0,2018-10-18 10:56:00,-56.157902,-34.871566,5,5,2018-10-18 10:38:00,0,1,POINT (-56.157902 -34.871566)
275,0,0,2018-10-14 21:29:00,-56.194162,-34.813937,5,5,2018-10-14 21:21:00,0,1,POINT (-56.194162 -34.813937)
276,0,0,2018-10-15 15:47:00,-56.112514,-34.870427,5,5,2018-10-15 15:25:00,0,1,POINT (-56.112514 -34.870427)
277,0,0,2018-10-15 16:06:00,-56.234525,-34.855908,5,5,2018-10-15 15:52:00,0,1,POINT (-56.234525 -34.855908)
278,0,0,2018-10-14 23:29:00,-56.142057,-34.908441,6,5,2018-10-14 23:12:00,1,1,POINT (-56.142057 -34.908441)
279,0,0,2018-10-15 19:58:00,-56.082235,-34.8853985,8,5,2018-10-15 19:26:00,2,2,POINT (-56.082235 -34.8853985)
