"uuid","start_time","end_time","location_x","location_y","reliability_min","reliability_max","confidence_min","confidence_max","thumbs_up"
"4251b6a8-c4c5-3966-bf1c-f8290ae68010","2019-02-04 10:32:00.000 America/Sao_Paulo","2019-02-04 11:32:00.000 America/Sao_Paulo","-46.630729999999986","-23.539526000000016","5","5","0","0","0"
"605c8b60-58cf-368e-a3cc-23acd40d5bd3","2019-02-04 10:21:00.000 America/Sao_Paulo","2019-02-04 11:22:00.000 America/Sao_Paulo","-46.55882000000004","-23.510639000000015","5","5","0","0","0"
"3205ea2b-89c8-3e9f-bd16-24a8a36ae0a2","2019-02-04 06:16:00.000 America/Sao_Paulo","2019-02-04 06:31:00.000 America/Sao_Paulo","-46.693439000000005","-23.598017000000006","5","10","0","5","11"
"581dcdcb-348d-387f-862b-5a54988d3563","2019-02-04 10:22:00.000 America/Sao_Paulo","2019-02-04 10:35:00.000 America/Sao_Paulo","-46.573355","-23.509358","5","9","0","1","3"
"d7788e8c-085c-3497-85b1-a0b39066f213","2019-02-04 09:29:00.000 America/Sao_Paulo","2019-02-04 10:09:00.000 America/Sao_Paulo","-46.54385100000001","-23.60672299999999","5","5","0","0","0"
"2c8453e0-bd23-364c-b3b5-666021fc45bd","2019-02-04 06:12:00.000 America/Sao_Paulo","2019-02-04 07:34:00.000 America/Sao_Paulo","-46.642091518072256","-23.537177566265026","5","9","0","2","2"
"fbd23ce3-f5ac-3089-8d1f-139087e9a189","2019-02-04 02:52:00.000 America/Sao_Paulo","2019-02-04 03:52:00.000 America/Sao_Paulo","-46.59495000000002","-23.544926000000018","5","5","0","0","0"
"98d3a452-cb17-3099-94d0-f8c4dcfe8cbc","2019-02-04 02:47:00.000 America/Sao_Paulo","2019-02-04 04:12:00.000 America/Sao_Paulo","-46.608307999999944","-23.529420000000027","5","7","0","0","1"
"0eb91c09-bca0-35c2-8c54-1816e8be9533","2019-02-04 06:38:00.000 America/Sao_Paulo","2019-02-04 07:37:00.000 America/Sao_Paulo","-46.67182099999997","-23.770216","5","5","0","0","0"
"02f20bf4-755b-38cb-83f2-ad8e4a52dc56","2019-02-04 08:12:00.000 America/Sao_Paulo","2019-02-04 09:15:00.000 America/Sao_Paulo","-46.73564600000005","-23.53294600000002","5","7","0","0","1"
"184b0567-da49-304b-a2bf-d44c753a2c42","2019-02-04 04:53:00.000 America/Sao_Paulo","2019-02-04 05:53:00.000 America/Sao_Paulo","-46.62461799999998","-23.51337899999999","5","5","0","0","0"
"794813a8-da44-3b1a-8325-e8fd477df2fa","2019-02-04 08:01:00.000 America/Sao_Paulo","2019-02-04 08:05:00.000 America/Sao_Paulo","-46.623004","-23.518547","9","10","1","1","4"
